Document_ID,Decision,LLM_Category,LLM_Confidence,LLM_Justification,Key_Phrases,Rationale_Text_Preview
FDA-2001-P-0030-0003,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","ecker assert that this petition should be denied because it fails to establish an adequate basis for assuring the safety and efficacy of the tablet formulation without additional clinical studies and/or significant labeling changes. In particular, Kleinfeld, Kaplan and Becker assert that the propose"
FDA-2003-P-0122-0003,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j) (2) (C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. "
FDA-2005-P-0003-0009,Approved,Sufficient Evidence,medium,References supporting data or evidence,"data, evidence","and other relevant data available to the Agency. Based on our review ofthese materials and for the reasons described below, the Sandoz, Rakoczy, and Orchid Petitions are granted and the Wyeth Petition is granted in part and denied in part. I. BACKGROUND A. Zosyn Zosyn (piperaciIlin and tazobactam fo"
FDA-2005-P-0009-0003,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505@(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Unde"
FDA-2005-P-0266-0007,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","ral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Und"
FDA-2006-P-0283-0003,Approved,Sufficient Evidence,medium,References supporting data or evidence,"data, evidence","studies . We will conduct a definitive labeling review when the ANADA for the proposed generic product is submitted to the Center . The generic labeling should be a verbatim copy of the approved labeling for the pioneer, with certain allowable differences, such as manufacturer's tradename and the ch"
FDA-2006-P-0331-0008,Approved,Sufficient Evidence,medium,References supporting data or evidence,"data, evidence","and other relevant data available to the Agency. Based on our review ofthese materials and for the reasons described below, the Sandoz, Rakoczy, and Orchid Petitions are granted and the Wyeth Petition is granted in part and denied in part. I. BACKGROUND A. Zosyn Zosyn (piperaciIlin and tazobactam fo"
FDA-2007-P-0004-0008,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe",that is not identical to NDA 005213. We have reviewed your petition under section 505(j)(2)(C) of the Act and FDA’s implementing regulations at 21 CFR 314.93 and have determined that it is approved. This letter represents FDA’s determination that an ANDA may be submitted for the above-referenced dru
FDA-2007-P-0016-0006,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Und"
FDA-2007-P-0061-0004,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. In "
FDA-2007-P-0062-0007,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) ofthe Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Und"
FDA-2007-P-0114-0006,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","ral Food, Drug, and Cosmetic Act (Act) . We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Un"
FDA-2007-P-0124-0007,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe",t that is not identical to NDA 005213. We have reviewed your petition under section 505(j)(2)(C) of the Act and FDA’s implementing regulations at 21 CFR 314.93 and have determined that it is approved. This letter represents FDA’s determination that an ANDA may be submitted for the above-referenced d
FDA-2007-P-0127-0006,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Und"
FDA-2007-P-0185-0004,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) ofthe Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Unde"
FDA-2007-P-0241-0004,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Un"
FDA-2007-P-0289-0006,Approved,Bioequivalence/Therapeutic Equivalence,high,Text discusses bioequivalence or therapeutic equivalence,"bioequivalent, therapeutic equivalence",mitted under that section of the Act. We have reviewed your petition under section 505(j)(2)(C) of the Act and FDA’s implementing regulations at 21 CFR 314.93 and have determined that it is approved. This letter represents FDA’s determination that an ANDA may be submitted for the above-referenced dr
FDA-2007-P-0348-0007,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) ofthe Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. In a"
FDA-2007-P-0409-0007,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and lxdve determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug products ."
FDA-2007-P-0495-0006,Approved,Safety Established,high,Primary focus on safety assessment,"safety, safe","eral Eood, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Un"
FDA-2001-P-0122-0001,Denied,Other Denial Reason,low,No clear match to defined categories,,"ing travel on trains and airplanes, is impossible because the presence of methylcellulose and carrageenan is not revealed on food menus. FDA does not currently require the declaration of ingredients on food menus, nor does FDA believe, based on the information presently before the agency, that the a"
FDA-2001-P-0123-0186,Denied,Other Denial Reason,low,No clear match to defined categories,,"mand on this issue ""[wa]s the appropriate remedy"" because ""a decision whether Plan B, a systemic hormonal contraceptive drug, may be safely used without a prescription"" by women younger than 17 years of age ""is best left to the expertise of the FDA, to which Congress has entrusted this responsibilit"
FDA-2004-P-0214-0028,Denied,Procedural - Administrative Deficiency,high,Administrative or procedural grounds cited,"procedural, 21 cfr 10","Competition and Innovation Act of2009,"" ""Quality Considerations in Demonstrating Biosimilarity to a Reference Protein Product,"" and ""Scientific Considerations in Demonstrating Biosimilarity to a Reference the outstanding requests and arguments in the Petitions that were directed more generally towar"
FDA-2005-P-0256-0002,Denied,Procedural - Already Addressed/Moot,high,Issue already addressed or rendered moot,"moot, already",". You state that pemoline should not be marketed because the drug is known to have caused at least 21 cases of liver failure and has no unique therapeutic benefit over other drugs for the treatment of attention deficit hyperactivity disorder (ADHD) . Abbott informed FDA on March 24, 2005, that it in"
