Pattern,Reasoning_Clause,Decision
Safety Established,sert that this petition should be denied because it fails to establish an adequate basis for assuring the safety and efficacy of the tablet formulatio,Approval
Safety Established,sert that the proposed product will have a different “food effect” than unimed’s products and that the safety and effectiveness of the proposed produc,Approval
Safety Established,sessment of the safety and effectiveness of the drug for the claimed indication in all relevant pediatric subpopulations unless the requirement is wai,Approval
Other/Unspecified,it is a petition for a change in dosage form,Approval
Other/Unspecified,"ed on our review ofthese materials and for the reasons described below, the sandoz, rakoczy, and orchid petitions are granted and the wyeth petition i",Approval
Other/Unspecified,e inhibitor tazobactam sodium for intravenous administration,Approval
Other/Unspecified,e-producing strains of the designated microorganisms in the specified conditions listed in the labeling,Approval
Other/Unspecified,presumptiye therapy in the indicated conditions prior to the identification of causative organisms because of its broad spectrum of bactericidal acti,Approval
Other/Unspecified,"our review ofthese materials and for the reasons described below, the sandoz, rakoczy, and orchid petitions are granted and the wyeth petition is gra",Approval
Other/Unspecified,"the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,"the uses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Other/Unspecified,manufacturer's tradename and the changes approved in this petition,Approval
Other/Unspecified,"ed on our review ofthese materials and for the reasons described below, the sandoz, rakoczy, and orchid petitions are granted and the wyeth petition i",Approval
Other/Unspecified,e inhibitor tazobactam sodium for intravenous administration,Approval
Other/Unspecified,e-producing strains of the designated microorganisms in the specified conditions listed in the labeling,Approval
Other/Unspecified,presumptiye therapy in the indicated conditions prior to the identification of causative organisms because of its broad spectrum of bactericidal acti,Approval
Other/Unspecified,"our review ofthese materials and for the reasons described below, the sandoz, rakoczy, and orchid petitions are granted and the wyeth petition is gra",Approval
Safety Established,determined that nda 005213 was not voluntarily withdrawn from sale due to reasons of safety or effectiveness,Approval
Safety Established,"ons of safety or effectiveness, 76 fed",Approval
Safety Established,nda 005213 was not voluntarily withdrawn from sale due to reasons of safety or effectiveness,Approval
Other/Unspecified,"the uses, doses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Safety Established,sessment of the safety and effectiveness of the drug for the claimed indication in relevant pediatric subpopulations unless the requirement is waived,Approval
Other/Unspecified,it is a petition for a change in dosage form,Approval
Other/Unspecified,"determined that your proposed change in dosage form is subject to prea, but has concluded that investigations are not necessary to demonstrate the sa",Approval
Other/Unspecified,"the uses, dose, dosage form, and route of administration ofthe proposed drug product are the same as that ofthe listed drug product",Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product",Approval
Safety Established,determined that nda 005213 was not voluntarily withdrawn from sale due to reasons of safety or effectiveness,Approval
Safety Established,"ons of safety or effectiveness, 76 fed",Approval
Safety Established,nda 005213 was not voluntarily withdrawn from sale due to reasons of safety or effectiveness,Approval
Other/Unspecified,"the uses, dose, and route of administration of the proposed drug product are the same as that ofthe listed drug product",Approval
